date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2014-10-03,Skönviksvägen 288,Stureby,GronHagsatra,3,72,3,Lägenhet,null,1995000,325000,2320000,4979,Svensk Fastighetsförmedling,278.0368969002785,Stureby
2014-10-02,Bjulevägen 18,Stureby,GronHagsatra,2,56,3,Lägenhet,1950,1750000,100000,1850000,3973,HusmanHagberg,1029.9813326838796,Stureby
2014-10-02,Bastuhagsvägen 8,Stureby,GronHagsatra,2,57,null,Lägenhet,1952,1795000,455000,2250000,2847,ERA,678.4336917311854,Stureby
2014-10-02,Munksjövägen 3,Stureby,GronHagsatra,7,138,null,Villa,1940,6950000,200000,7150000,null,Mäklarhuset,310.2813410936663,Stureby
2014-10-02,Östrandsvägen 80,Stureby,GronHagsatra,3,72,3,Lägenhet,1950,2350000,370000,2720000,3634,Notar,1064.7209161766662,Stureby
2014-10-02,Götaforsvägen 18,Stureby,GronHagsatra,2,41,4,Lägenhet,1954,1695000,445000,2140000,2346,HusmanHagberg,374.2245346876729,Bandhagen
2014-09-25,Skönviksvägen 286,Stureby,GronHagsatra,2,51,3,Lägenhet,1961,1795000,195000,1990000,3527,Mäklarhuset,294.0288155952216,Stureby
2014-09-24,Götaforsvägen 7,Stureby,GronHagsatra,2,55,2,Lägenhet,null,1595000,750000,2345000,3309,Svensk Fastighetsförmedling,371.40398576426315,Stureby
2014-09-22,Sågverksgatan 103,Stureby,GronHagsatra,4,77,2,Lägenhet,1946,2395000,55000,2450000,5076,Mäklarhuset,996.9380779374848,Stureby
2014-09-19,Bäckaskiftsvägen 62,Stureby,GronHagsatra,2,57,0.5,Lägenhet,1950,1895000,430000,2325000,2727,Notar,298.59734303437637,Stureby
2014-09-19,Bandhagsvägen 46,Stureby,GronHagsatra,7,130,null,Villa,1932,6295000,1805000,8100000,null,Svensk Fastighetsförmedling,194.62194920545974,Stureby
2014-09-18,Götaforsvägen 15,Stureby,GronHagsatra,2,55,3,Lägenhet,1952,1995000,205000,2200000,3309,Erik Olsson Fastighetsförmedling,411.86636220899095,Bandhagen
2014-09-15,Skönviksvägen 280,Stureby,GronHagsatra,2,40,1,Lägenhet,1958,1595000,305000,1900000,2019,Erik Olsson Fastighetsförmedling,289.90217773063364,Stureby
2014-09-11,Nykvarnsvägen 11,Stureby,GronHagsatra,7,190,null,Villa,1929,10750000,1500000,12250000,null,HusmanHagberg,135.81496658762526,Stureby
2014-09-10,Skönviksvägen 311,Stureby,GronHagsatra,2,54,2,Lägenhet,null,1750000,410000,2160000,3258,Svensk Fastighetsförmedling,265.72897879550624,Bandhagen
2014-09-10,Götaforsvägen 9,Stureby,GronHagsatra,2,55,2,Lägenhet,1952,1795000,475000,2270000,3309,Mäklarhuset,386.76454680249884,Stureby
2014-09-09,Östrandsvägen 23,Stureby,GronHagsatra,6,182,null,Villa,1949,8300000,560000,8860000,null,SkandiaMäklarna,803.321631346035,Stureby
2014-09-03,Östrandsvägen 80,Stureby,GronHagsatra,3,72,1,Lägenhet,1950,2375000,150000,2525000,3633,HusmanHagberg,1064.7209161766662,Stureby
2014-08-31,Utansjövägen 2,Stureby,GronHagsatra,6,149,null,Villa,1940,8250000,900000,9150000,null,HusmanHagberg,298.37053176643093,Stureby
2014-08-28,Bäckaskiftsvägen 76,Stureby,GronHagsatra,2,57,2,Lägenhet,1950,1950000,530000,2480000,2727,Notar,272.2983605924026,Stureby
2014-08-27,Skönviksvägen 286,Stureby,GronHagsatra,1.5,31,2,Lägenhet,1961,1495000,205000,1700000,2143,Fastighetsbyrån,294.0288155952216,Stureby
2014-08-24,Tussmötevägen 256,Stureby,GronHagsatra,5,144,null,Villa,1926,4500000,1300000,5800000,null,Bjurfors,669.3642336740734,Stureby
2014-08-22,Bjulevägen 14,Stureby,GronHagsatra,2,56,3,Lägenhet,1950,1850000,50000,1900000,3973,HusmanHagberg,1029.9290140782905,Stureby
2014-08-21,Skönviksvägen 286,Stureby,GronHagsatra,1.5,31,3,Lägenhet,1961,1490000,510000,2000000,2143,SkandiaMäklarna,294.0288155952216,Stureby
2014-08-20,Bäckaskiftsvägen 44,Stureby,GronHagsatra,1,18,1,Lägenhet,1950,1195000,0,1195000,1508,Notar,350.56064124646383,Stureby
2014-08-20,Bjulevägen 57,Stureby,GronHagsatra,2,48.5,3,Lägenhet,1946,1650000,400000,2050000,3272,Erik Olsson Fastighetsförmedling,862.050859446688,Stureby
2014-08-20,Skönviksvägen 270,Stureby,GronHagsatra,1,25,1,Lägenhet,1952,1250000,270000,1520000,1553,Bjurfors,301.9333429221961,Stureby
2014-08-20,Skönviksvägen 290,Stureby,GronHagsatra,3,71.9,3,Lägenhet,1961,2295000,330000,2625000,4487,Fastighetsbyrån,265.1501532835142,Stureby
2014-08-19,Götaforsvägen 15,Stureby,GronHagsatra,2,55,2,Lägenhet,1952,1795000,430000,2225000,3309,Mäklarhuset,411.86636220899095,Bandhagen
2014-08-13,Skönviksvägen 293,Stureby,GronHagsatra,1,19,2,Lägenhet,1952,1195000,115000,1310000,1320,Fastighetsbyrån,225.04865871031927,Bandhagen
2014-07-29,Bäckaskiftsvägen 76,Stureby,GronHagsatra,3,75,0.5,Lägenhet,1950,2500000,445000,2945000,3289,Notar,272.2983605924026,Stureby
2014-07-25,Sågverksgatan 118,Stureby,GronHagsatra,3,69,3,Lägenhet,1950,2350000,290000,2640000,3501,Notar,937.6939922500451,Stureby
2014-06-27,Mölndalsbacken 94,Stureby,GronHagsatra,4,97.5,null,Lägenhet,1961,2750000,550000,3300000,4920,Mäklarhuset,764.3804121852776,Bandhagen
2014-06-27,Bastuhagsvägen 10,Stureby,GronHagsatra,2,57,2,Lägenhet,1952,1895000,255000,2150000,2798,Mäklarhuset,663.3914407771958,Stureby
2014-06-25,Östanåvägen 26,Stureby,GronHagsatra,3,85,1,Lägenhet,1930,3500000,-250000,3250000,3499,Mäklarhuset,311.03678916383217,Svedmyra
2014-06-22,Bäckaskiftsvägen 72,Stureby,GronHagsatra,3,63,3,Lägenhet,1950,1950000,455000,2405000,2914,SkandiaMäklarna,263.71311346387535,Stureby
2014-06-14,Götaforsvägen 45,Stureby,GronHagsatra,5,94,null,Lägenhet,1964,3495000,675000,4170000,3963,Notar,526.4482415614123,Bandhagen
2014-06-13,Tanneforsvägen 16,Stureby,GronHagsatra,7,166,null,Villa,1939,6475000,725000,7200000,null,Fastighetsbyrån,431.01077377285293,Stureby
2014-06-04,Sågverksgatan 108,Stureby,GronHagsatra,2,45,2,Lägenhet,1946,1650000,100000,1750000,3283,HusmanHagberg,950.1687141219791,Stureby
2014-05-30,Vivstavarvsvägen 157,Stureby,GronHagsatra,4,72,2,Lägenhet,1952,2395000,0,2395000,4272,Svenska Mäklarhuset,1096.7625223038108,Stureby
2014-05-29,Bäckaskiftsvägen 54,Stureby,GronHagsatra,1,42,2,Lägenhet,1950,1695000,-35000,1660000,2258,Södermäklarna,325.57338358945566,Stureby
2014-05-28,Vivstavarvsvägen 151,Stureby,GronHagsatra,2,62,2,Lägenhet,1952,1695000,305000,2000000,3695,Länsförsäkringar Fastighetsförmedling,1102.2790350055875,Stureby
